configuration,configuration_label,feature,mean_importance,standard_deviation,observations
A,With first- and second-period grades,G2,0.3085050798258345,0.05247395684438437,50
A,With first- and second-period grades,G1,0.09058055152394776,0.05081527428726376,50
A,With first- and second-period grades,Fjob,0.006923076923076898,0.009324485026635758,50
A,With first- and second-period grades,romantic,0.005,0.00852091341718177,50
A,With first- and second-period grades,famsup,0.00461538461538461,0.008296521357440375,50
A,With first- and second-period grades,schoolsup,0.004615384615384604,0.008296521357440363,50
A,With first- and second-period grades,absences,0.003461538461538469,0.007196368698655243,50
A,With first- and second-period grades,studytime,0.003461538461538449,0.00746322950945389,50
A,With first- and second-period grades,goout,0.0017126269956458517,0.005664040695689845,50
A,With first- and second-period grades,health,0.001538461538461533,0.005270144531112859,50
A,With first- and second-period grades,failures,0.001371552975326551,0.007203488955509055,50
A,With first- and second-period grades,Medu,0.001364296081277212,0.00671280111081251,50
A,With first- and second-period grades,freetime,0.0013497822931785141,0.0054906116028252865,50
A,With first- and second-period grades,sex,0.001153846153846152,0.007174486185275033,50
A,With first- and second-period grades,famsize,0.0011538461538461498,0.004613421874655662,50
A,With first- and second-period grades,reason,0.0011465892597968019,0.004584602001032803,50
A,With first- and second-period grades,paid,0.0007837445573294666,0.0060686140371737415,50
A,With first- and second-period grades,Walc,0.000769230769230771,0.003806705071579958,50
A,With first- and second-period grades,school,0.0007692307692307665,0.003806705071579937,50
A,With first- and second-period grades,Fedu,0.0003991291727140811,0.004726512552059634,50
A,With first- and second-period grades,nursery,0.00038461538461538326,0.002719641466102096,50
A,With first- and second-period grades,higher,0.0003773584905660399,0.0018674402237939482,50
A,With first- and second-period grades,famrel,0.00020319303338171003,0.004527871807106096,50
A,With first- and second-period grades,guardian,0.00018867924528301883,0.0013341637380878252,50
A,With first- and second-period grades,Dalc,0.0,0.0,50
A,With first- and second-period grades,Mjob,0.0,0.0,50
A,With first- and second-period grades,address,0.0,0.0,50
A,With first- and second-period grades,internet,0.0,0.0,50
A,With first- and second-period grades,traveltime,0.0,0.0,50
A,With first- and second-period grades,Pstatus,-0.00018142235123367323,0.0036003846555696614,50
A,With first- and second-period grades,age,-0.0009433962264151052,0.0028589222959025163,50
A,With first- and second-period grades,activities,-0.0013207547169811317,0.003306696535413826,50
C,Without first- or second-period grades,failures,0.05848330914368649,0.04423813382264708,50
C,Without first- or second-period grades,goout,0.008425253991291706,0.027411459634825514,50
C,Without first- or second-period grades,Dalc,0.007097242380261246,0.013144871012336946,50
C,Without first- or second-period grades,Fedu,0.0035921625544266724,0.021258431787389582,50
C,Without first- or second-period grades,absences,0.0030624092888243636,0.03211175909688847,50
C,Without first- or second-period grades,Mjob,0.0023367198838896708,0.01759904214270898,50
C,Without first- or second-period grades,reason,0.0018722786647314771,0.019166231903188842,50
C,Without first- or second-period grades,schoolsup,0.0013642960812771943,0.019170324936093722,50
C,Without first- or second-period grades,health,0.00040638606676341116,0.014717228839452414,50
C,Without first- or second-period grades,famrel,0.00023222060957908797,0.011018010082281829,50
C,Without first- or second-period grades,Walc,0.0002177068214804123,0.010310597183406931,50
C,Without first- or second-period grades,Fjob,-0.00025399129172715807,0.012404106411687432,50
C,Without first- or second-period grades,higher,-0.0003918722786647422,0.018355554034775807,50
C,Without first- or second-period grades,activities,-0.0007619738751814275,0.018113518043973476,50
C,Without first- or second-period grades,age,-0.0010812772133527004,0.026024400018914293,50
C,Without first- or second-period grades,school,-0.0011393323657474808,0.007057938112015875,50
C,Without first- or second-period grades,address,-0.0013280116110304884,0.011964247062298029,50
C,Without first- or second-period grades,paid,-0.0032510885341074337,0.014616899214809229,50
C,Without first- or second-period grades,romantic,-0.0033817126269956566,0.017300058202121885,50
C,Without first- or second-period grades,sex,-0.0034325108853410914,0.02150772370043024,50
C,Without first- or second-period grades,studytime,-0.003650217706821499,0.02318389503297839,50
C,Without first- or second-period grades,famsize,-0.004419448476052253,0.017953864945623184,50
C,Without first- or second-period grades,internet,-0.004535558780841802,0.011100247680307056,50
C,Without first- or second-period grades,Medu,-0.0047242380261248275,0.0226344320491693,50
C,Without first- or second-period grades,Pstatus,-0.004840348330914361,0.014949800240105547,50
C,Without first- or second-period grades,famsup,-0.005544267053701028,0.018360852180430962,50
C,Without first- or second-period grades,nursery,-0.005921625544267066,0.01194555461276165,50
C,Without first- or second-period grades,traveltime,-0.008439767779390426,0.022849259659535787,50
C,Without first- or second-period grades,guardian,-0.011451378809869397,0.01923295707244667,50
C,Without first- or second-period grades,freetime,-0.013940493468795369,0.01855591425480335,50
